"(Intercept)","DOY","glacier_len_norm","noise_4kHz","runoff_racmo","site","temp_deep","temp_shallow","velocity","year","DOY:runoff_racmo","DOY:temp_deep","DOY:temp_shallow","df","logLik","AICc","delta","weight"
18.5180778099191,-0.103774124987732,1.55693740255218,0.0696937896278319,NA,"+",-46.2964415192827,NA,NA,"+",NA,0.184159263338151,NA,9,-176.462080367485,371.417311419902,3.33231436370005,0.00531116561343294
13.7213070748963,-0.0816649498740977,1.40938970898492,0.0549215211316921,-0.00620425528212331,"+",-28.6346028840637,NA,NA,"+",NA,0.119580250677696,NA,10,-175.412338164086,371.429071932568,3.34407487636645,0.00528002624166843
0.266765620331727,-0.0319012537056655,NA,0.0541360276608258,-0.00851943787206222,NA,2.04227428573676,-0.425198402208029,NA,"+",NA,NA,NA,7,-178.58767105882,371.480519229357,3.39552217315452,0.0051459367327128
9.33698709391024,-0.0690958042904627,NA,0.067235422520074,-0.00518321775084362,NA,-21.9202070708121,0.0881421855040999,NA,"+",NA,0.0888066731913057,NA,8,-177.557054966037,371.507552555025,3.42255549882299,0.00507684881185787
17.1672115686398,-0.0739500183485134,NA,NA,-0.00800104871276736,"+",-20.5508628738634,0.460375324952877,NA,"+",NA,0.0863396795484662,NA,9,-176.511527700485,371.516206085902,3.43120902969952,0.00505492993100657
8.81996161582491,-0.0676344099922586,0.0160724549241429,0.0676748124945812,-0.00516624383726091,NA,-21.1013794787849,NA,NA,"+",NA,0.086137441195528,NA,8,-177.562437162318,371.518316947587,3.43331989138511,0.0050495976164888
16.5003733345513,-0.0730707112058363,NA,NA,0.0169253393761927,"+",-19.9496645389078,NA,NA,"+",-0.000109776950810402,0.086287734994925,NA,9,-176.523092019112,371.539334723155,3.45433766695294,0.00499680981811632
63.1520126984691,-0.05797759456695,1.13330083140617,NA,-0.0116506288173932,"+",2.48463285940094,NA,-0.0166013133363541,NA,NA,NA,NA,8,-177.659062796343,371.711568215636,3.62657115943404,0.00458450860821906
1.40011593388564,-0.0337991884587155,NA,0.052025570687454,0.00828797660186763,NA,1.49651239143465,NA,NA,"+",-7.82819155777541e-05,NA,NA,7,-178.708417299462,371.72201171064,3.63701465443813,0.00456063185528669
24.1625257558366,-0.0414703338513901,NA,0.0384183377413606,-0.0110486405726719,"+",2.79849488141591,NA,-0.00655272773696413,"+",NA,NA,NA,9,-176.62050494256,371.734160570051,3.64916351384937,0.00453301258824282
